long,lat,intensity
-179.0,63.0,54286.45700648125
-179.0,62.0,53872.74152143091
-179.0,61.0,53435.52431046004
-179.0,60.0,52976.06624416327
-179.0,59.0,52495.77455159769
-179.0,58.0,51996.18758137462
-179.0,57.0,51478.957727466564
-179.0,56.0,50945.8329040197
-179.0,55.0,50398.636983314376
-179.0,54.0,49839.2496285664
-179.0,53.0,49269.585958251635
-179.0,52.0,48691.57647116738
-179.0,51.0,48107.14764197578
-179.0,50.0,47518.20356630009
-179.0,49.0,46926.608993679016
-179.0,48.0,46334.174037243734
-179.0,47.0,45742.64079255406
-179.0,46.0,45153.67203653298
-179.0,45.0,44568.84211299954
-179.0,44.0,43989.63004615585
-179.0,43.0,43417.414859864526
-179.0,42.0,42853.47302092567
-179.0,41.0,42298.97787102583
-179.0,40.0,41755.00086650063
-179.0,39.0,41222.51440917044
-179.0,38.0,40702.396026452356
-179.0,37.0,40195.433645412726
-179.0,36.0,39702.33170351821
-179.0,35.0,39223.717848097214
-179.0,34.0,38760.14999586983
-179.0,33.0,38312.12355173544
-179.0,32.0,37880.07862024118
-179.0,31.0,37464.40708135689
-179.0,30.0,37065.45944168851
-179.0,29.0,36683.551410345644
-179.0,28.0,36318.97018270044
-179.0,27.0,35971.98044284955
-179.0,26.0,35642.830114755474
-179.0,25.0,35331.75590135406
-179.0,24.0,35038.9886496109
-179.0,23.0,34764.758567529905
-179.0,22.0,34509.30029718739
-179.0,21.0,34272.85781746218
-179.0,20.0,34055.68911344826
-179.0,19.0,33858.0705093846
-179.0,18.0,33680.30052162168
-179.0,17.0,33522.70305128144
-179.0,16.0,33385.629706591564
-179.0,15.0,33269.4610259982
-179.0,14.0,33174.60636833197
-179.0,13.0,33101.502248133394
-179.0,12.0,33050.60892447103
-179.0,11.0,33022.405100798926
-179.0,10.0,33017.380660866984
-179.0,9.0,33036.02744919909
-179.0,8.0,33078.82820044597
-179.0,7.0,33146.24382480546
-179.0,6.0,33238.69936026735
-179.0,5.0,33356.5689994167
-179.0,4.0,33500.16068138169
-179.0,3.0,33669.70080106446
-179.0,2.0,33865.319621986695
-179.0,1.0,34087.03798166373
-179.0,0.0,34334.755847509005
-179.0,-1.0,34608.243217705116
-179.0,-2.0,34907.13376886553
-179.0,-3.0,35230.92153673412
-179.0,-4.0,35578.96078561095
-179.0,-5.0,35950.469085719305
-179.0,-6.0,36344.53348455869
-179.0,-7.0,36760.11953690267
-179.0,-8.0,37196.08285545885
-179.0,-9.0,37651.182765246
-179.0,-10.0,38124.09759210016
-179.0,-11.0,38613.441089799264
-179.0,-12.0,39117.779509508735
-179.0,-13.0,39635.6488364577
-179.0,-14.0,40165.57175779052
-179.0,-15.0,40706.07397768767
-179.0,-16.0,41255.699556365355
-179.0,-17.0,41813.02501397489
-179.0,-18.0,42376.67200484661
-179.0,-19.0,42945.31842878266
-179.0,-20.0,43517.707901799076
-179.0,-21.0,44092.65755721918
-179.0,-22.0,44669.064188400014
-179.0,-23.0,45245.908776304415
-179.0,-24.0,45822.25946880748
-179.0,-25.0,46397.27309462021
