,eventDate,individualCount,decimalLatitude,decimalLongitude,day,month,year
25486,1996-10-08T00:00:00,220.0,-37.4313,-57.1921,8,10,1996
26309,1997-10-17T00:00:00,1.0,-22.398000000000003,-57.458,17,10,1997
26696,1998-11-22T00:00:00,590.0,-36.3848,-56.7066,22,11,1998
27538,1996-03-21T00:00:00,1.0,-2.24606,-80.9417,21,3,1996
27908,1990-09-02T00:00:00,20.0,-16.7481,-56.8575,2,9,1990
28891,1999-09-14T00:00:00,3.0,-17.0076,-63.7489,14,9,1999
29236,1997-11-09T00:00:00,,-22.4075,-66.0055,9,11,1997
29686,1997-12-07T00:00:00,,-36.2941,-56.7756,7,12,1997
29961,1991-09-15T00:00:00,4.0,-34.7917,-55.3972,15,9,1991
31334,1995-02-09T00:00:00,,-34.1709,-53.6407,9,2,1995
32754,1999-10-09T00:00:00,6.0,-18.0936,-67.1045,9,10,1999
34508,1995-10-29T00:00:00,,-23.63,-58.57,29,10,1995
