,eventDate,individualCount,decimalLatitude,decimalLongitude,day,month,year
84909,2006-12-07T00:00:00,1.0,-51.6802,-57.7837,7,12,2006
85211,2003-01-13T00:00:00,,-34.3364,-53.794,13,1,2003
85337,2009-03-21T00:00:00,1.0,-34.0411,151.19899999999998,21,3,2009
85535,2009-12-26T00:00:00,15.0,-30.7415,-60.143,26,12,2009
85865,2004-09-20T00:00:00,35.0,-25.2667,-57.6167,20,9,2004
86001,2005-03-14T00:00:00,1.0,-45.1266,-66.5366,14,3,2005
86287,2007-01-26T00:00:00,,-34.3532,-53.8638,26,1,2007
86705,2004-11-05T00:00:00,3.0,-37.7444,-57.427,5,11,2004
88011,2003-11-08T00:00:00,,-34.7646,-55.6682,8,11,2003
88226,2007-11-12T00:00:00,16.0,-36.2941,-56.7756,12,11,2007
88525,2009-03-23T00:00:00,19.0,-22.4075,-66.0055,23,3,2009
88635,2007-03-11T00:00:00,2.0,-33.7,-61.4667,11,3,2007
88791,2003-11-08T00:00:00,,-34.802,-55.376999999999995,8,11,2003
88837,2006-11-14T00:00:00,,-34.6797,-54.2732,14,11,2006
89179,2007-02-19T00:00:00,,-34.652,-54.1622,19,2,2007
89258,2009-09-18T00:00:00,,-20.1842,-58.2692,18,9,2009
89340,2003-11-22T00:00:00,14.0,-34.6623,-54.1484,22,11,2003
89701,2007-03-11T00:00:00,2.0,-33.7,-61.4667,11,3,2007
89834,2004-10-14T00:00:00,3.0,-34.8783,-54.9155,14,10,2004
90324,2007-10-28T00:00:00,50.0,-36.35,-56.8667,28,10,2007
91013,2008-02-02T00:00:00,400.0,-33.7,-61.4667,2,2,2008
91548,2000-10-07T00:00:00,9.0,-25.2667,-57.6167,7,10,2000
91583,2004-11-12T00:00:00,2.0,-13.618,-71.7304,12,11,2004
92613,2004-03-03T00:00:00,12.0,-30.9396,-62.7258,3,3,2004
93073,2007-04-22T00:00:00,2.0,-33.8038,-71.712,22,4,2007
93133,2004-10-14T00:00:00,1.0,-11.3959,-69.535,14,10,2004
93182,2004-10-02T00:00:00,40.0,-25.2667,-57.6167,2,10,2004
93537,2006-12-30T00:00:00,1.0,-34.6611,-54.1525,30,12,2006
93677,2002-09-28T00:00:00,,-22.5,-59.8167,28,9,2002
93863,2004-12-04T00:00:00,,-36.2941,-56.7756,4,12,2004
93911,2008-03-02T00:00:00,1.0,-32.8844,-71.5068,2,3,2008
94326,2009-02-21T00:00:00,7.0,-30.9667,-62.75,21,2,2009
94341,2006-11-17T00:00:00,60.0,-36.2941,-56.7756,17,11,2006
94461,2004-10-31T00:00:00,3.0,-45.1266,-66.5366,31,10,2004
94580,2008-02-12T00:00:00,3.0,-30.9667,-62.75,12,2,2008
94629,2008-03-28T00:00:00,1.0,-18.4165,-70.3224,28,3,2008
94979,2009-09-14T00:00:00,12.0,-17.9484,-63.1606,14,9,2009
95165,2007-09-23T00:00:00,1.0,-11.2093,-77.5849,23,9,2007
95269,2008-09-30T00:00:00,2.0,-33.9063,-53.7147,30,9,2008
95309,2005-12-04T00:00:00,,-36.2941,-56.7756,4,12,2005
95549,2005-09-26T00:00:00,,-30.5765,-59.9342,26,9,2005
95636,2009-04-03T00:00:00,,-34.0411,151.19899999999998,3,4,2009
95658,2000-11-27T00:00:00,3.0,-25.2667,-57.6167,27,11,2000
95938,2002-01-26T00:00:00,,-37.7444,-57.427,26,1,2002
96306,2006-02-12T00:00:00,2.0,-0.613108,-78.4744,12,2,2006
96362,2008-01-27T00:00:00,,-34.652,-54.1622,27,1,2008
96426,2006-11-25T00:00:00,1.0,-51.68600000000001,-57.7633,25,11,2006
96573,2009-01-02T00:00:00,1.0,-29.8934,-71.2731,2,1,2009
96778,2003-09-05T00:00:00,7.0,-25.2667,-57.6167,5,9,2003
96955,2003-01-31T00:00:00,,-36.5074,-56.8158,31,1,2003
97290,2000-09-22T00:00:00,6.0,-25.2667,-57.6167,22,9,2000
97710,2004-09-18T00:00:00,42.0,-25.2667,-57.6167,18,9,2004
97718,2006-11-13T00:00:00,15.0,-36.3848,-56.7066,13,11,2006
97788,2007-11-15T00:00:00,,-36.3848,-56.7066,15,11,2007
98146,2003-12-07T00:00:00,,-31.8057,-52.3082,7,12,2003
98318,2009-12-11T00:00:00,1.0,-12.607000000000001,-69.2831,11,12,2009
98754,2009-02-28T00:00:00,3.0,-18.4165,-70.3224,28,2,2009
98900,2008-11-29T00:00:00,,-37.7444,-57.427,29,11,2008
99256,2001-02-19T00:00:00,,-36.2941,-56.7756,19,2,2001
99308,2007-09-23T00:00:00,,-34.7658,-56.416000000000004,23,9,2007
99459,2007-02-10T00:00:00,,-37.7444,-57.427,10,2,2007
99524,2009-03-24T00:00:00,,-34.0411,151.19899999999998,24,3,2009
100038,2008-10-16T00:00:00,,-34.8136,-55.3336,16,10,2008
100436,2002-09-02T00:00:00,1.0,-25.2667,-57.6167,2,9,2002
100534,2007-11-08T00:00:00,,-22.7222,-65.6956,8,11,2007
100678,2002-11-01T00:00:00,,-36.2941,-56.7756,1,11,2002
100900,2004-10-14T00:00:00,100.0,-38.8467,-62.1248,14,10,2004
100906,2008-02-04T00:00:00,6.0,-33.7592,-71.7344,4,2,2008
101125,2007-12-20T00:00:00,20.0,-34.6797,-54.2732,20,12,2007
101453,2006-02-19T00:00:00,,-34.6082,-58.354,19,2,2006
101585,2009-03-28T00:00:00,1.0,-34.0411,151.19899999999998,28,3,2009
101589,2006-02-05T00:00:00,1.0,-0.680038,-78.4801,5,2,2006
101640,2003-11-04T00:00:00,1.0,-33.4985,-58.7884,4,11,2003
101766,2009-03-20T00:00:00,,-36.2941,-56.7756,20,3,2009
101925,2009-11-10T00:00:00,,-0.680038,-78.4801,10,11,2009
102090,2000-11-02T00:00:00,172.0,-25.2667,-57.6167,2,11,2000
102143,2003-02-12T00:00:00,,-22.6272,-59.0453,12,2,2003
102196,2002-01-26T00:00:00,,-37.7444,-57.427,26,1,2002
102457,2006-12-19T00:00:00,1.0,-25.2667,-57.6167,19,12,2006
102925,2000-11-22T00:00:00,4.0,-25.2667,-57.6167,22,11,2000
102973,2001-09-11T00:00:00,140.0,-25.2667,-57.6167,11,9,2001
103347,2001-11-13T00:00:00,70.0,-36.2941,-56.7756,13,11,2001
103494,2005-07-13T00:00:00,2.0,-17.55,-66.0833,13,7,2005
103651,2008-03-15T00:00:00,1.0,-14.4031,-70.8716,15,3,2008
104074,2007-11-02T00:00:00,,-34.1709,-53.6407,2,11,2007
104603,2003-09-02T00:00:00,8.0,-25.2667,-57.6167,2,9,2003
105083,2004-10-10T00:00:00,30.0,-38.9121,-62.0595,10,10,2004
105215,2009-10-05T00:00:00,15.0,-25.2667,-57.6167,5,10,2009
105606,2008-03-02T00:00:00,1.0,-32.8844,-71.5068,2,3,2008
105642,2009-03-01T00:00:00,1.0,-18.4165,-70.3224,1,3,2009
105769,2008-03-15T00:00:00,,-33.4985,-58.7884,15,3,2008
106625,2001-11-06T00:00:00,35.0,-25.2667,-57.6167,6,11,2001
106807,2004-02-10T00:00:00,1.0,-18.477,-70.3207,10,2,2004
107178,2007-02-04T00:00:00,,-22.7674,-65.7138,4,2,2007
107189,2004-11-15T00:00:00,1.0,-18.2489,-69.1792,15,11,2004
