decimalLongitude,decimalLatitude,individualCount,year
-58,-35,1,2020
-60,-29,3,2020
-51,-31,5,2020
-57,-25,4,2020
-63,-17,1,2020
-58,-33,1,2020
-57,-37,1,2020
-74,4,1,2020
-58,-34,1,2020
-57,-25,10,2020
-60,-31,60,2020
-57,-25,10,2020
-76,2,1,2020
-58,-38,9,2020
-70,-33,1,2020
-57,-25,14,2020
-57,-25,12,2020
-57,-25,3,2020
-62,-30,4,2020
-57,-25,3,2020
-57,-25,2,2020
-55,-34,1,2020
-57,-25,12,2020
-60,-31,3,2020
-63,-24,99,2020
-70,-33,4,2020
-76,-13,1,2020
-58,-34,65,2020
-58,-34,8,2020
-76,-12,1,2020
-57,-25,1,2020
-60,-33,1,2020
-60,-31,12,2020
-64,-30,4,2020
-58,-38,1,2020
-58,-33,1,2020
-60,-29,10,2020
-60,-31,3,2020
-44,-23,1,2020
-63,-17,1,2020
-58,-26,90,2020
-58,-33,9,2020
-58,-26,1,2020
-58,-26,10,2020
-74,4,5,2020
-56,-34,3,2020
-76,3,3,2020
-57,-25,18,2020
-59,-33,2,2020
-57,-35,1,2020
-47,-24,1,2020
-60,-30,5,2020
-58,-26,9,2020
-60,-31,1,2020
-76,-12,1,2020
-67,-9,1,2020
-61,-32,15,2020
-72,-16,2,2020
-46,-23,3,2020
-58,-34,2,2020
-62,-30,2,2020
-58,-26,2,2020
-57,-25,13,2020
-60,-29,70,2020
-58,-33,12,2020
-58,-36,4,2020
-58,-35,1,2020
-52,-31,1,2020
-54,-25,2,2020
-59,-33,1,2020
-71,-13,2,2020
-60,-29,6,2020
-54,-34,2,2020
-57,-25,3,2020
-78,-2,5,2020
-59,-34,40,2020
-58,-30,1,2020
-64,-32,15,2020
-42,-22,4,2020
-56,-36,8,2020
-65,-24,5,2020
-58,-30,1,2020
-69,-12,3,2020
-57,-25,12,2020
-71,-13,10,2020
-58,-33,2,2020
-54,-34,2,2020
-57,-28,1,2020
-60,-29,20,2020
-55,-27,1,2020
-60,-29,32,2020
-60,-31,3,2020
-52,-32,2,2020
-60,-29,40,2020
-57,-25,20,2020
-60,-31,20,2020
-62,-30,5,2020
-53,-34,48,2020
-54,-34,4,2020
-60,-32,2,2020
-58,-27,251,2020
-57,-25,42,2020
-61,-33,1,2020
-57,-25,11,2020
-60,-31,2,2020
-57,-25,23,2020
-60,-31,1,2020
-56,-34,2,2020
-57,-25,40,2020
-60,-31,2,2020
-56,-36,7,2020
-61,-31,2,2020
-52,-31,4,2020
-50,-31,4,2020
-57,-25,35,2020
-69,-51,1,2020
-58,-26,81,2020
-60,-30,35,2020
-63,-32,5,2020
-54,-25,2,2020
-63,-31,10,2020
-57,-25,1,2020
-54,-34,2,2020
-62,-30,5,2020
-54,-34,12,2020
-58,-26,3,2020
-45,-22,20,2020
-54,-34,8,2020
-61,-33,8,2020
-57,-25,42,2020
-46,-23,12,2020
-50,-31,2,2020
-56,-36,1,2020
-65,-22,3,2020
-60,-24,2,2020
-57,-25,3,2020
-58,-31,2,2020
-57,-30,7,2020
-57,-25,3,2020
-57,-25,1,2020
-54,-34,34,2020
-54,-25,3,2020
-70,-33,4,2020
-57,-36,1,2020
-58,-34,3,2020
-60,-29,35,2020
-46,-23,12,2020
-57,-25,5,2020
-59,-30,7,2020
-79,1,2,2020
-60,-31,60,2020
