,eventDate,individualCount,decimalLatitude,decimalLongitude,day,month,year
80008,2/12/2015 0:00,10.0,-31.115509999999997,-64.75001,12.0,2.0,2015.0
80009,1/19/2020 0:00,1.0,-22.428320000000003,-47.63115,19.0,1.0,2020.0
80014,12/4/2020 0:00,2.0,-23.191929000000002,-45.936855,4.0,12.0,2020.0
80015,3/14/2015 0:00,1.0,-29.874052000000002,-71.26496999999999,14.0,3.0,2015.0
80016,2/26/2018 0:00,1.0,-0.471066,-76.45919,26.0,2.0,2018.0
80019,11/28/2020 0:00,2.0,-31.7499,-60.295080000000006,28.0,11.0,2020.0
80022,10/29/2019 0:00,1.0,-31.839454999999997,-61.566531999999995,29.0,10.0,2019.0
80023,2/28/2017 0:00,2.0,-3.290055,-60.188796999999994,28.0,2.0,2017.0
80026,12/29/2018 0:00,5.0,-3.290055,-60.188796999999994,29.0,12.0,2018.0
80027,1/11/2015 0:00,1.0,-22.333464000000003,-42.69424,11.0,1.0,2015.0
80029,10/21/2018 0:00,2.0,-31.45717,-60.895927,21.0,10.0,2018.0
80032,11/13/2015 0:00,2.0,-15.845765,-47.727486,13.0,11.0,2015.0
80035,12/24/2017 0:00,6.0,-32.149235,-53.750637,24.0,12.0,2017.0
80038,9/13/2017 0:00,3.0,-8.610455,-63.872257,13.0,9.0,2017.0
80040,11/8/2018 0:00,2.0,-2.418848,-54.708405000000006,8.0,11.0,2018.0
80041,11/26/2018 0:00,2.0,-29.145088,-50.568535,26.0,11.0,2018.0
80042,10/30/2020 0:00,1.0,-34.37493,-55.290732999999996,30.0,10.0,2020.0
80044,12/16/2018 0:00,1.0,-34.492,-58.47916800000001,16.0,12.0,2018.0
80045,10/5/2018 0:00,1.0,-23.089382,-47.220890000000004,5.0,10.0,2018.0
80047,1/2/2019 0:00,1.0,-34.462740000000004,-57.838455,2.0,1.0,2019.0
80049,1/14/2017 0:00,1.0,-31.798662,-60.312965000000005,14.0,1.0,2017.0
80053,10/16/2012 0:00,3.0,-15.437764999999999,-55.78938,16.0,10.0,2012.0
80055,11/20/2020 0:00,1.0,-22.890210999999997,-45.504585,20.0,11.0,2020.0
80058,10/12/2016 0:00,2.0,-22.059305,-42.528687,12.0,10.0,2016.0
80059,10/28/2018 0:00,1.0,-23.554129,-46.858746000000004,28.0,10.0,2018.0
80065,1/13/2017 0:00,7.0,-28.801937,-65.54923000000001,13.0,1.0,2017.0
80067,11/5/2019 0:00,1.0,-34.645576,-54.154488,5.0,11.0,2019.0
80068,1/31/2020 0:00,1.0,-32.12189,-60.63278199999999,31.0,1.0,2020.0
80069,11/12/2015 0:00,4.0,-21.96714,-48.49207,12.0,11.0,2015.0
80072,10/1/2016 0:00,4.0,-21.215,-46.5624,1.0,10.0,2016.0
80073,2/1/2020 0:00,9.0,-24.732623999999998,-65.419945,1.0,2.0,2020.0
80075,2/24/2018 0:00,6.0,-33.200924,-63.626999999999995,24.0,2.0,2018.0
80078,9/3/2014 0:00,1.0,-9.597261,-55.931107,3.0,9.0,2014.0
80079,2/23/2019 0:00,9.0,-35.234962,-57.273617,23.0,2.0,2019.0
80081,3/19/2020 0:00,1.0,-22.677143,-43.891796,19.0,3.0,2020.0
80082,12/25/2020 0:00,1.0,-34.119667,-63.373665,25.0,12.0,2020.0
80083,10/27/2019 0:00,5.0,-24.634332999999998,-65.485664,27.0,10.0,2019.0
80084,11/21/2015 0:00,5.0,-38.69402,-68.01756,21.0,11.0,2015.0
80086,9/14/2019 0:00,1.0,-29.741609999999998,-51.028442,14.0,9.0,2019.0
80088,10/18/2015 0:00,1.0,-22.428320000000003,-47.63115,18.0,10.0,2015.0
80090,10/19/2019 0:00,7.0,-22.461416,-53.10063,19.0,10.0,2019.0
80091,10/16/2020 0:00,1.0,-31.250159999999997,-63.424442000000006,16.0,10.0,2020.0
80092,3/13/2009 0:00,7.0,-36.62324,-64.27878,13.0,3.0,2009.0
80095,1/23/2016 0:00,5.0,-20.901022,-47.58789,23.0,1.0,2016.0
80096,11/26/2015 0:00,10.0,-36.0995,-57.4335,26.0,11.0,2015.0
80099,10/30/2019 0:00,1.0,-23.79436,-64.44011,30.0,10.0,2019.0
80105,1/22/2020 0:00,10.0,-29.520277,-53.582469999999994,22.0,1.0,2020.0
80107,10/28/2020 0:00,3.0,-27.492416,-55.7599,28.0,10.0,2020.0
80109,11/2/2018 0:00,1.0,-34.787445,-58.39929,2.0,11.0,2018.0
80115,9/25/2020 0:00,2.0,-20.685087,-43.30088,25.0,9.0,2020.0
80116,1/29/2018 0:00,8.0,-20.534457999999997,-49.10413,29.0,1.0,2018.0
80117,10/17/2020 0:00,2.0,-26.275335,-58.272909999999996,17.0,10.0,2020.0
80119,11/2/2019 0:00,2.0,-37.156673,-56.93018000000001,2.0,11.0,2019.0
80120,2/27/2009 0:00,1.0,-2.5083900000000003,-54.672973999999996,27.0,2.0,2009.0
