,Galaxy ID,SDSS ID,RA,DEC,Black Hole Mass,Stellar Velocity Dispersion,Stellar Mass,SFR,Ref,Unnamed: 9,#VALUE!,Unnamed: 11,Unnamed: 12
134,G204,J085931.85+384754.1,134.8827,38.79836,7.28036422,144.493481500565,10.55633313,-0.258253591,5.0,,-0.024464328,,
135,G205,J164440.00+443808.0,251.16667,44.63555,8.074159767,171.483335724447,11.00854574,1.7847423,5.0,,0.162123349,,
136,G206,J080726.78+550943.6,121.86159,55.1621,8.114892628,169.899190406614,10.60425281,-0.025519186,5.0,,-0.002406505,,
137,G207,J122007.40+022431.6,185.03082,2.4087844,7.986364121,179.211773175408,10.83225833,0.870381882,5.0,,0.080350916,,
138,G208,J121818.26+632818.3,184.5761,63.471764,8.064174925,152.883190983142,10.78802911,0.53907841,5.0,,0.049970055,,
139,G209,J095325.70-010341.5,148.35709,-1.0615242,7.979184542,152.575883593612,10.72687341,-0.21769703,5.0,,-0.020294546,,
140,G210,J143422.91+314835.3,218.59544,31.809803,8.088667738,200.348732991262,10.61388807,-0.406200765,5.0,,-0.038270685,,
141,G212,J112852.59-032130.6,172.21915,-3.3585043,8.012759838,86.5112406707814,10.34803663,1.42165872,5.0,,0.137384392,,
142,G213,J154518.05+463838.1,236.32523,46.643913,8.281928324,200.740408897167,10.46362109,1.156128615,5.0,,0.110490298,,
143,G214,J115855.74+322222.1,179.73225,32.372807,8.160378629,172.575799606733,10.79060347,1.142292156,5.0,,0.105859896,,
144,G215,J131406.43+315844.7,198.5268,31.979088,8.024818117,184.568158957859,10.88206657,0.132209417,5.0,,0.012149293,,
145,G216,J172223.36+300625.7,260.59735,30.107126,8.079090644,122.487596622169,10.29529672,0.464530425,5.0,,0.045120645,,
146,G218,J142744.58+304541.8,216.93575,30.761608,8.124873087,99.3595350701001,10.51309411,0.356716573,5.0,,0.033930693,,
147,G219,J133354.79-005534.5,203.47832,-0.92626303,6.924539333,158.4400706068,10.4620248,-0.180593437,5.0,,-0.017261805,,
148,G220,J131843.35-014340.0,199.68063,-1.7277663,7.796386243,117.741535750687,10.45022245,-0.315274706,5.0,,-0.030169186,,
149,G222,J093347.76+211436.4,143.449,21.243458,7.857742081,166.085415785459,11.21750301,1.288578179,5.0,,0.114872105,,
150,G223,J122623.69+261050.0,186.59871,26.180552,8.063230078,193.272481235197,10.69507489,-1.27345198,5.0,,-0.11906901,,
151,G224,J130436.38+533646.8,196.15157,53.612995,8.059408188,160.421473298142,10.58378711,0.565592951,5.0,,0.053439562,,
152,G225,J112750.73+190301.9,171.96136,19.050516,7.969366449,214.421193623683,10.99994687,1.132167978,5.0,,0.102924859,,
153,G226,J100753.26+304002.1,151.9719,30.667257,8.118404828,87.301588620294,10.24603278,1.205367274,5.0,,0.11764234,,
154,G227,J170409.10+333042.4,256.03793,33.511784,7.78965393,117.523546029616,10.76012929,0.683896203,5.0,,0.063558363,,
155,G228,J143627.08+160319.0,219.11285,16.055265,8.121267912,171.689668687619,10.28521555,0.6395586,5.0,,0.062182323,,
156,G229,J135244.63-001526.2,208.18597,-0.2572664,8.291735843,160.385953142422,10.70055254,0.504790865,5.0,,0.04717428,,
157,G230,J160002.25+130137.8,240.00937,13.027154,8.060722161,182.589345783476,10.47150949,-0.536537308,5.0,,-0.051237819,,
158,G231,J091655.21+023043.4,139.23006,2.5120604,7.561374812,125.468980621295,10.37444543,0.173956374,5.0,,0.016767776,,
159,G232,J132552.16+113709.8,201.46735,11.619377,8.167206418,194.450630272735,10.63299983,1.129673024,5.0,,0.106242175,,
160,G233,J152203.77+001128.2,230.5157,0.19117172,7.927626877,88.7770509973523,10.83687951,1.115684425,5.0,,0.102952554,,
161,G234,J171707.17+640145.2,259.27988,64.029236,7.962628258,83.4405947993019,10.38614592,0.266592967,5.0,,0.025668132,,
162,G235,J111552.34+424330.3,168.96808,42.72509,7.574530275,107.640644041124,10.50444194,0.615527766,5.0,,0.058596903,,
163,G236,J120458.35+121018.7,181.24313,12.171848,8.0502865,105.626892767145,10.69970912,0.198268517,5.0,,0.018530272,,
164,G237,J090237.62+612207.1,135.65674,61.368633,8.16575961,170.203773757342,11.05699737,0.880479456,5.0,,0.079630973,,
165,G238,J121713.51+205132.8,184.3063,20.859123,8.138181483,146.107014863965,10.62116003,0.752084421,5.0,,0.070810008,,
166,G239,J152102.88+580044.7,230.26201,58.012424,8.06051398,150.485380367218,10.45835998,-1.313836949,5.0,,-0.125625524,,
167,G240,J142009.49+110108.7,215.03957,11.019093,8.020082941,194.405630496051,11.2272324,0.897377517,5.0,,0.079928649,,
168,G241,J155046.13-003605.7,237.6922,-0.60157186,7.65208816,79.80495298487779,10.39282072,0.298295244,5.0,,0.028702048,,
169,G242,J152035.35-002040.0,230.1473,-0.34444198,7.894000269,160.681739039338,10.4864525,0.692476845,5.0,,0.066035377,,
170,G243,J164615.54+254143.1,251.56474,25.695318,8.166474195,126.628553479006,10.97418861,1.029585014,5.0,,0.093818782,,
171,G244,J090754.59+402034.5,136.97746,40.342922,8.158597214,155.966176820228,10.83569922,1.018598514,5.0,,0.094003949,,
172,G245,J105519.54+402717.5,163.8314,40.45485,8.048089681,376.80482697816893,10.36706491,1.543302983,5.0,,0.148865952,,
173,G246,J122728.20+194247.4,186.86752,19.713156,8.10883632,102.398980593157,10.46724148,0.559520319,5.0,,0.05345442,,
174,G248,J102925.73+140823.2,157.35721,14.139788,7.709300405,182.525953450154,10.31103536,0.324181055,5.0,,0.031440204,,
175,G250,J141835.18+564414.7,214.64659,56.737427,7.683965436,114.036653359904,10.83105319,0.816592119,5.0,,0.075393603,,
176,G251,J155649.58+185205.0,239.20659,18.868063,8.115268099,220.324955214924,11.10730808,1.858985302,5.0,,0.167365962,,
177,G253,J112438.17+372240.4,171.15904,37.37788,8.154008467,231.449756872851,11.00318924,1.013080974,5.0,,0.092071576,,
178,G254,J103352.59+004403.4,158.46913,0.7342686,7.749017944,209.419045193318,10.97707462,0.523550082,5.0,,0.047694864,,
179,G256,J134615.90+580008.1,206.56622,58.002254,7.874406206,212.270134713773,10.54951568,0.65497036,5.0,,0.062085349,,
180,G257,J092019.08+395219.7,140.07951,39.87213,8.115095515,221.679031225493,10.85768658,-1.099681072,5.0,,-0.101281342,,
181,G260,J085127.68+413458.6,132.86534,41.58295,8.121271027,158.065014374901,10.90044391,0.158923738,5.0,,0.014579566,,
182,G262,J143211.25+005409.6,218.04686,0.90267193,7.655842741,136.417034302222,10.54149334,0.947907633,5.0,,0.08992157,,
183,G263,J141556.85+052029.6,213.98686,5.3415446,7.906304033,197.288151042513,10.59782666,1.157310799,5.0,,0.109202654,,
184,G264,J111841.50+501113.6,169.6729,50.18711,8.101990717,126.156510757253,10.38907141,0.722692697,5.0,,0.069562781,,
185,G265,J083236.51+271246.7,128.15213,27.212975,7.553760548,115.766126572329,10.4977844,-0.0333523,5.0,,-0.00317708,,
186,G266,J150347.18+400740.5,225.94658,40.12792,7.908241726,148.347739445601,10.66551084,0.995817923,5.0,,0.093368048,,
187,G268,J161843.64+121725.0,244.68182,12.290289,8.053471411,142.503460087254,10.53911038,1.16385818,5.0,,0.110432298,,
188,G269,J161532.25-002730.4,243.88438,-0.45843944,7.966170995,91.04979705990911,10.79115164,1.353747509,5.0,,0.125449772,,
189,G270,J125241.40+531934.1,193.17252,53.326145,7.770350542,107.173193231664,9.785200856,-0.070501516,5.0,,-0.007204913,,
190,G271,J161113.84+164203.3,242.80768,16.700916,8.022812243,123.326249832647,10.77032143,0.369988462,5.0,,0.034352592,,
191,G272,J145110.06+490813.6,222.79193,49.137123,8.04074145,228.561901161349,10.58167586,0.915407488,5.0,,0.086508744,,
192,G273,J074227.08+465643.0,115.61284,46.945286,8.070217448,162.921906252709,10.6185493,0.50019952,5.0,,0.047106201,,
193,G274,J165627.31+623226.7,254.1138,62.540737,8.035133372,200.565838675122,10.28636902,1.541871757,5.0,,0.149894657,,
194,G275,J122137.94+043026.1,185.4081,4.507259,8.016311687,118.576200129746,10.08191067,-0.188319632,5.0,,-0.018678963,,
195,G276,J171622.59+551213.4,259.09412,55.203728,8.079166948,123.476058389758,10.74108251,1.268325739,,,0.118081742,,
196,G277,J121613.63+524246.2,184.05678,52.712845,8.04353263,134.006596037273,11.09280471,1.046772725,,,0.094365019,,
197,G278,J092648.06+025655.0,141.70026,2.9486077,7.883481718,120.830934995539,10.22317232,0.779622227,,,0.076260304,,
198,G279,J161726.55+382553.1,244.36061,38.431408,8.010195188,165.476019337484,10.76575158,1.335432284,,,0.124044501,,
199,G285,J092725.37+113419.7,141.85571,11.572126,8.013610033,134.41150566902,10.82416887,0.333908073,,,0.03084838,,
200,G287,J113042.76-004903.1,172.67816,-0.8175203,7.708297993,111.485580017821,10.22455592,0.570499007,,,0.055796947,,
201,G289,J104301.61+505833.0,160.75671,50.975822,7.621916262,146.089672962993,10.83494816,1.369743385,,,0.126419007,,
202,G291,J083207.80+403452.7,128.03252,40.58129,8.043894793,147.29033524363,10.30161125,1.074123944,,,0.104267567,,
203,G292,J164335.64+265444.2,250.89851,26.912266,8.022465004,171.60394136792,10.5877602,0.66919116,,,0.063204223,,
204,G293,J163740.34+214621.4,249.41808,21.772602,7.701778392,174.991611888006,10.94437179,1.495338279,,,0.136630801,,
205,G294,J144250.46+545308.6,220.71024,54.88571,7.849118612,102.21326397834,10.55947298,1.4940374,,,0.141487876,,
206,G296,J161157.20+345439.1,242.98836,34.910854,7.979833072,178.592117047524,10.62263311,0.99478774,,,0.093647943,,
207,G297,J120648.30+065912.2,181.70126,6.986732,7.498328469,111.621230697097,10.08474402,0.098055049,,,0.009723107,,
208,G298,J132050.04+043117.0,200.2085,4.521388,8.108757025,137.899363944578,10.77915435,0.652068773,,,0.0604935,,
209,G300,J165219.48+290319.1,253.08115,29.055317,7.880389938,128.402147165926,10.74408697,1.310848382,,,0.122006494,,
210,G301,J165838.43+312844.6,254.66013,31.479048,7.567555821,140.32159793491,10.46713896,0.529414897,,,0.050578759,,
